,target,target_original,is_dropout,course_name,age_quantile_group
141,Graduate,Graduate,0,Journalism and Communication,"(16.999, 19.0]"
142,Enrolled,Enrolled,0,Management,"(20.0, 25.0]"
143,Graduate,Graduate,0,Social Service,"(16.999, 19.0]"
144,Graduate,Graduate,0,Nursing,"(16.999, 19.0]"
145,Graduate,Graduate,0,Basic Education,"(16.999, 19.0]"
146,Dropout,Dropout,1,Tourism,"(16.999, 19.0]"
147,Dropout,Dropout,1,Tourism,"(19.0, 20.0]"
148,Graduate,Graduate,0,Management,"(16.999, 19.0]"
149,Graduate,Graduate,0,Nursing,"(19.0, 20.0]"
150,Enrolled,Enrolled,0,Animation and Multimedia Design,"(16.999, 19.0]"
151,Graduate,Graduate,0,Veterinary Nursing,"(16.999, 19.0]"
152,Enrolled,Enrolled,0,Basic Education,"(16.999, 19.0]"
153,Graduate,Graduate,0,Basic Education,"(16.999, 19.0]"
154,Dropout,Dropout,1,Basic Education,"(20.0, 25.0]"
155,Dropout,Dropout,1,Basic Education,"(16.999, 19.0]"
156,Graduate,Graduate,0,Management,"(16.999, 19.0]"
157,Graduate,Graduate,0,Social Service,"(16.999, 19.0]"
158,Graduate,Graduate,0,Social Service,"(19.0, 20.0]"
159,Graduate,Graduate,0,Social Service (evening attendance),"(20.0, 25.0]"
160,Dropout,Dropout,1,Advertising and Marketing Management,"(16.999, 19.0]"
161,Graduate,Graduate,0,Nursing,"(16.999, 19.0]"
162,Graduate,Graduate,0,Nursing,"(16.999, 19.0]"
163,Dropout,Dropout,1,Basic Education,"(20.0, 25.0]"
164,Graduate,Graduate,0,Advertising and Marketing Management,"(16.999, 19.0]"
165,Graduate,Graduate,0,Journalism and Communication,"(16.999, 19.0]"
166,Enrolled,Enrolled,0,Agronomy,"(25.0, 70.0]"
167,Graduate,Graduate,0,Social Service,"(16.999, 19.0]"
168,Graduate,Graduate,0,Nursing,"(25.0, 70.0]"
169,Dropout,Dropout,1,Social Service,"(20.0, 25.0]"
170,Enrolled,Enrolled,0,Veterinary Nursing,"(25.0, 70.0]"
171,Graduate,Graduate,0,Oral Hygiene,"(19.0, 20.0]"
172,Graduate,Graduate,0,Nursing,"(16.999, 19.0]"
173,Graduate,Graduate,0,Social Service (evening attendance),"(25.0, 70.0]"
174,Dropout,Dropout,1,Tourism,"(19.0, 20.0]"
175,Enrolled,Enrolled,0,Advertising and Marketing Management,"(16.999, 19.0]"
176,Graduate,Graduate,0,Basic Education,"(25.0, 70.0]"
177,Dropout,Dropout,1,Nursing,"(19.0, 20.0]"
178,Dropout,Dropout,1,Basic Education,"(16.999, 19.0]"
179,Dropout,Dropout,1,Nursing,"(25.0, 70.0]"
180,Graduate,Graduate,0,Basic Education,"(25.0, 70.0]"
181,Enrolled,Enrolled,0,Management (evening attendance),"(25.0, 70.0]"
182,Dropout,Dropout,1,Journalism and Communication,"(25.0, 70.0]"
183,Dropout,Dropout,1,Communication Design,"(16.999, 19.0]"
184,Dropout,Dropout,1,Tourism,"(19.0, 20.0]"
185,Dropout,Dropout,1,Management,"(19.0, 20.0]"
186,Enrolled,Enrolled,0,Social Service,"(20.0, 25.0]"
187,Graduate,Graduate,0,Nursing,"(16.999, 19.0]"
188,Dropout,Dropout,1,Veterinary Nursing,"(20.0, 25.0]"
189,Graduate,Graduate,0,Communication Design,"(19.0, 20.0]"
190,Graduate,Graduate,0,Tourism,"(20.0, 25.0]"
191,Enrolled,Enrolled,0,Social Service (evening attendance),"(20.0, 25.0]"
192,Dropout,Dropout,1,Management,"(20.0, 25.0]"
193,Dropout,Dropout,1,Basic Education,"(20.0, 25.0]"
194,Graduate,Graduate,0,Nursing,"(16.999, 19.0]"
195,Dropout,Dropout,1,Management (evening attendance),"(25.0, 70.0]"
196,Graduate,Graduate,0,Nursing,"(16.999, 19.0]"
197,Dropout,Dropout,1,Informatics Engineering,"(25.0, 70.0]"
198,Graduate,Graduate,0,Basic Education,"(16.999, 19.0]"
199,Enrolled,Enrolled,0,Nursing,"(25.0, 70.0]"
200,Graduate,Graduate,0,Veterinary Nursing,"(16.999, 19.0]"
201,Graduate,Graduate,0,Social Service,"(19.0, 20.0]"
202,Graduate,Graduate,0,Nursing,"(16.999, 19.0]"
203,Graduate,Graduate,0,Social Service,"(20.0, 25.0]"
204,Graduate,Graduate,0,Social Service,"(16.999, 19.0]"
205,Graduate,Graduate,0,Social Service,"(16.999, 19.0]"
206,Graduate,Graduate,0,Nursing,"(16.999, 19.0]"
207,Graduate,Graduate,0,Journalism and Communication,"(16.999, 19.0]"
208,Graduate,Graduate,0,Veterinary Nursing,"(16.999, 19.0]"
209,Dropout,Dropout,1,Tourism,"(25.0, 70.0]"
210,Graduate,Graduate,0,Nursing,"(16.999, 19.0]"
211,Graduate,Graduate,0,Nursing,"(16.999, 19.0]"
212,Graduate,Graduate,0,Equinculture,"(19.0, 20.0]"
213,Dropout,Dropout,1,Management (evening attendance),"(25.0, 70.0]"
214,Graduate,Graduate,0,Journalism and Communication,"(20.0, 25.0]"
215,Enrolled,Enrolled,0,Oral Hygiene,"(20.0, 25.0]"
216,Graduate,Graduate,0,Management,"(16.999, 19.0]"
217,Dropout,Dropout,1,Social Service (evening attendance),"(20.0, 25.0]"
218,Dropout,Dropout,1,Social Service (evening attendance),"(25.0, 70.0]"
219,Dropout,Dropout,1,Veterinary Nursing,"(20.0, 25.0]"
220,Graduate,Graduate,0,Management,"(16.999, 19.0]"
221,Graduate,Graduate,0,Basic Education,"(16.999, 19.0]"
222,Dropout,Dropout,1,Tourism,"(16.999, 19.0]"
223,Graduate,Graduate,0,Nursing,"(16.999, 19.0]"
224,Graduate,Graduate,0,Nursing,"(16.999, 19.0]"
225,Graduate,Graduate,0,Management (evening attendance),"(25.0, 70.0]"
226,Graduate,Graduate,0,Management,"(25.0, 70.0]"
227,Graduate,Graduate,0,Social Service,"(19.0, 20.0]"
228,Dropout,Dropout,1,Advertising and Marketing Management,"(25.0, 70.0]"
229,Graduate,Graduate,0,Nursing,"(16.999, 19.0]"
230,Graduate,Graduate,0,Tourism,"(16.999, 19.0]"
231,Dropout,Dropout,1,Tourism,"(25.0, 70.0]"
232,Graduate,Graduate,0,Advertising and Marketing Management,"(16.999, 19.0]"
233,Graduate,Graduate,0,Tourism,"(20.0, 25.0]"
234,Dropout,Dropout,1,Management,"(20.0, 25.0]"
235,Graduate,Graduate,0,Social Service,"(20.0, 25.0]"
236,Graduate,Graduate,0,Basic Education,"(16.999, 19.0]"
237,Graduate,Graduate,0,Social Service,"(16.999, 19.0]"
238,Dropout,Dropout,1,Equinculture,"(20.0, 25.0]"
239,Dropout,Dropout,1,Veterinary Nursing,"(20.0, 25.0]"
240,Enrolled,Enrolled,0,Nursing,"(16.999, 19.0]"
241,Enrolled,Enrolled,0,Animation and Multimedia Design,"(20.0, 25.0]"
242,Graduate,Graduate,0,Management,"(19.0, 20.0]"
243,Dropout,Dropout,1,Management,"(20.0, 25.0]"
244,Graduate,Graduate,0,Management,"(19.0, 20.0]"
245,Graduate,Graduate,0,Nursing,"(20.0, 25.0]"
246,Graduate,Graduate,0,Nursing,"(16.999, 19.0]"
247,Dropout,Dropout,1,Agronomy,"(25.0, 70.0]"
248,Graduate,Graduate,0,Tourism,"(20.0, 25.0]"
249,Graduate,Graduate,0,Advertising and Marketing Management,"(16.999, 19.0]"
250,Enrolled,Enrolled,0,Communication Design,"(16.999, 19.0]"
251,Dropout,Dropout,1,Journalism and Communication,"(16.999, 19.0]"
252,Graduate,Graduate,0,Veterinary Nursing,"(16.999, 19.0]"
253,Enrolled,Enrolled,0,Journalism and Communication,"(16.999, 19.0]"
254,Graduate,Graduate,0,Management,"(16.999, 19.0]"
255,Dropout,Dropout,1,Oral Hygiene,"(25.0, 70.0]"
256,Graduate,Graduate,0,Management (evening attendance),"(25.0, 70.0]"
257,Enrolled,Enrolled,0,Communication Design,"(16.999, 19.0]"
258,Graduate,Graduate,0,Social Service,"(16.999, 19.0]"
259,Dropout,Dropout,1,Social Service,"(20.0, 25.0]"
260,Graduate,Graduate,0,Tourism,"(19.0, 20.0]"
261,Dropout,Dropout,1,Social Service (evening attendance),"(25.0, 70.0]"
262,Dropout,Dropout,1,Informatics Engineering,"(25.0, 70.0]"
263,Graduate,Graduate,0,Social Service,"(16.999, 19.0]"
264,Graduate,Graduate,0,Social Service,"(16.999, 19.0]"
265,Graduate,Graduate,0,Journalism and Communication,"(16.999, 19.0]"
266,Graduate,Graduate,0,Nursing,"(16.999, 19.0]"
267,Graduate,Graduate,0,Journalism and Communication,"(16.999, 19.0]"
268,Graduate,Graduate,0,Communication Design,"(16.999, 19.0]"
269,Graduate,Graduate,0,Nursing,"(16.999, 19.0]"
270,Graduate,Graduate,0,Agronomy,"(20.0, 25.0]"
271,Dropout,Dropout,1,Management,"(19.0, 20.0]"
272,Graduate,Graduate,0,Management,"(19.0, 20.0]"
273,Graduate,Graduate,0,Nursing,"(16.999, 19.0]"
274,Graduate,Graduate,0,Social Service,"(19.0, 20.0]"
275,Graduate,Graduate,0,Nursing,"(16.999, 19.0]"
276,Dropout,Dropout,1,Basic Education,"(19.0, 20.0]"
277,Dropout,Dropout,1,Equinculture,"(25.0, 70.0]"
278,Enrolled,Enrolled,0,Nursing,"(16.999, 19.0]"
279,Graduate,Graduate,0,Nursing,"(19.0, 20.0]"
280,Graduate,Graduate,0,Management,"(20.0, 25.0]"
281,Graduate,Graduate,0,Social Service (evening attendance),"(25.0, 70.0]"
282,Graduate,Graduate,0,Management (evening attendance),"(25.0, 70.0]"
283,Graduate,Graduate,0,Communication Design,"(20.0, 25.0]"
284,Graduate,Graduate,0,Social Service (evening attendance),"(20.0, 25.0]"
285,Graduate,Graduate,0,Journalism and Communication,"(20.0, 25.0]"
286,Enrolled,Enrolled,0,Communication Design,"(16.999, 19.0]"
287,Graduate,Graduate,0,Social Service (evening attendance),"(25.0, 70.0]"
288,Graduate,Graduate,0,Social Service (evening attendance),"(16.999, 19.0]"
289,Graduate,Graduate,0,Nursing,"(20.0, 25.0]"
290,Graduate,Graduate,0,Veterinary Nursing,"(16.999, 19.0]"
291,Graduate,Graduate,0,Agronomy,"(16.999, 19.0]"
292,Enrolled,Enrolled,0,Agronomy,"(20.0, 25.0]"
293,Graduate,Graduate,0,Social Service,"(16.999, 19.0]"
294,Dropout,Dropout,1,Communication Design,"(16.999, 19.0]"
295,Graduate,Graduate,0,Nursing,"(16.999, 19.0]"
296,Graduate,Graduate,0,Journalism and Communication,"(16.999, 19.0]"
297,Graduate,Graduate,0,Social Service,"(16.999, 19.0]"
298,Graduate,Graduate,0,Oral Hygiene,"(19.0, 20.0]"
299,Graduate,Graduate,0,Nursing,"(16.999, 19.0]"
300,Graduate,Graduate,0,Advertising and Marketing Management,"(16.999, 19.0]"
301,Graduate,Graduate,0,Veterinary Nursing,"(20.0, 25.0]"
302,Graduate,Graduate,0,Nursing,"(16.999, 19.0]"
303,Dropout,Dropout,1,Advertising and Marketing Management,"(16.999, 19.0]"
304,Dropout,Dropout,1,Social Service,"(16.999, 19.0]"
305,Enrolled,Enrolled,0,Advertising and Marketing Management,"(16.999, 19.0]"
306,Graduate,Graduate,0,Advertising and Marketing Management,"(16.999, 19.0]"
307,Dropout,Dropout,1,Equinculture,"(25.0, 70.0]"
308,Graduate,Graduate,0,Veterinary Nursing,"(16.999, 19.0]"
309,Dropout,Dropout,1,Equinculture,"(16.999, 19.0]"
310,Graduate,Graduate,0,Social Service,"(25.0, 70.0]"
311,Dropout,Dropout,1,Basic Education,"(20.0, 25.0]"
312,Graduate,Graduate,0,Management,"(16.999, 19.0]"
313,Graduate,Graduate,0,Basic Education,"(19.0, 20.0]"
314,Dropout,Dropout,1,Management,"(20.0, 25.0]"
315,Graduate,Graduate,0,Management,"(16.999, 19.0]"
316,Graduate,Graduate,0,Nursing,"(16.999, 19.0]"
317,Graduate,Graduate,0,Nursing,"(16.999, 19.0]"
318,Graduate,Graduate,0,Social Service,"(16.999, 19.0]"
319,Enrolled,Enrolled,0,Nursing,"(19.0, 20.0]"
320,Dropout,Dropout,1,Veterinary Nursing,"(25.0, 70.0]"
321,Graduate,Graduate,0,Nursing,"(16.999, 19.0]"
322,Graduate,Graduate,0,Nursing,"(16.999, 19.0]"
323,Graduate,Graduate,0,Management,"(16.999, 19.0]"
324,Enrolled,Enrolled,0,Veterinary Nursing,"(16.999, 19.0]"
325,Graduate,Graduate,0,Tourism,"(16.999, 19.0]"
326,Graduate,Graduate,0,Nursing,"(16.999, 19.0]"
327,Graduate,Graduate,0,Social Service,"(16.999, 19.0]"
328,Enrolled,Enrolled,0,Basic Education,"(16.999, 19.0]"
329,Enrolled,Enrolled,0,Veterinary Nursing,"(16.999, 19.0]"
330,Enrolled,Enrolled,0,Basic Education,"(16.999, 19.0]"
331,Dropout,Dropout,1,Informatics Engineering,"(25.0, 70.0]"
332,Graduate,Graduate,0,Social Service,"(19.0, 20.0]"
333,Graduate,Graduate,0,Social Service (evening attendance),"(16.999, 19.0]"
334,Graduate,Graduate,0,Social Service,"(16.999, 19.0]"
335,Graduate,Graduate,0,Social Service,"(16.999, 19.0]"
336,Graduate,Graduate,0,Basic Education,"(25.0, 70.0]"
337,Graduate,Graduate,0,Nursing,"(16.999, 19.0]"
338,Graduate,Graduate,0,Social Service,"(16.999, 19.0]"
339,Graduate,Graduate,0,Equinculture,"(16.999, 19.0]"
340,Enrolled,Enrolled,0,Veterinary Nursing,"(16.999, 19.0]"
341,Dropout,Dropout,1,Animation and Multimedia Design,"(16.999, 19.0]"
342,Graduate,Graduate,0,Social Service (evening attendance),"(25.0, 70.0]"
343,Graduate,Graduate,0,Agronomy,"(25.0, 70.0]"
344,Enrolled,Enrolled,0,Management,"(25.0, 70.0]"
345,Graduate,Graduate,0,Journalism and Communication,"(16.999, 19.0]"
346,Enrolled,Enrolled,0,Social Service,"(25.0, 70.0]"
347,Graduate,Graduate,0,Management (evening attendance),"(25.0, 70.0]"
348,Graduate,Graduate,0,Social Service,"(25.0, 70.0]"
349,Enrolled,Enrolled,0,Social Service (evening attendance),"(19.0, 20.0]"
350,Dropout,Dropout,1,Tourism,"(20.0, 25.0]"
351,Graduate,Graduate,0,Journalism and Communication,"(19.0, 20.0]"
352,Dropout,Dropout,1,Animation and Multimedia Design,"(16.999, 19.0]"
353,Graduate,Graduate,0,Nursing,"(16.999, 19.0]"
354,Dropout,Dropout,1,Tourism,"(20.0, 25.0]"
355,Graduate,Graduate,0,Veterinary Nursing,"(16.999, 19.0]"
356,Graduate,Graduate,0,Nursing,"(20.0, 25.0]"
357,Dropout,Dropout,1,Management (evening attendance),"(25.0, 70.0]"
358,Enrolled,Enrolled,0,Agronomy,"(25.0, 70.0]"
359,Dropout,Dropout,1,Veterinary Nursing,"(25.0, 70.0]"
360,Graduate,Graduate,0,Basic Education,"(16.999, 19.0]"
361,Dropout,Dropout,1,Journalism and Communication,"(16.999, 19.0]"
362,Enrolled,Enrolled,0,Management,"(19.0, 20.0]"
363,Graduate,Graduate,0,Veterinary Nursing,"(20.0, 25.0]"
364,Enrolled,Enrolled,0,Nursing,"(16.999, 19.0]"
365,Graduate,Graduate,0,Veterinary Nursing,"(20.0, 25.0]"
366,Graduate,Graduate,0,Nursing,"(20.0, 25.0]"
367,Enrolled,Enrolled,0,Veterinary Nursing,"(16.999, 19.0]"
368,Graduate,Graduate,0,Basic Education,"(16.999, 19.0]"
369,Dropout,Dropout,1,Nursing,"(16.999, 19.0]"
370,Graduate,Graduate,0,Social Service (evening attendance),"(25.0, 70.0]"
371,Enrolled,Enrolled,0,Management (evening attendance),"(25.0, 70.0]"
372,Graduate,Graduate,0,Journalism and Communication,"(16.999, 19.0]"
373,Graduate,Graduate,0,Management (evening attendance),"(25.0, 70.0]"
374,Dropout,Dropout,1,Veterinary Nursing,"(25.0, 70.0]"
375,Enrolled,Enrolled,0,Social Service (evening attendance),"(25.0, 70.0]"
376,Dropout,Dropout,1,Management,"(25.0, 70.0]"
377,Graduate,Graduate,0,Nursing,"(16.999, 19.0]"
378,Enrolled,Enrolled,0,Basic Education,"(16.999, 19.0]"
379,Enrolled,Enrolled,0,Veterinary Nursing,"(20.0, 25.0]"
380,Dropout,Dropout,1,Nursing,"(25.0, 70.0]"
381,Enrolled,Enrolled,0,Nursing,"(19.0, 20.0]"
382,Enrolled,Enrolled,0,Social Service,"(16.999, 19.0]"
383,Graduate,Graduate,0,Basic Education,"(16.999, 19.0]"
384,Graduate,Graduate,0,Management,"(19.0, 20.0]"
385,Graduate,Graduate,0,Social Service,"(16.999, 19.0]"
386,Graduate,Graduate,0,Basic Education,"(16.999, 19.0]"
387,Graduate,Graduate,0,Management (evening attendance),"(25.0, 70.0]"
388,Enrolled,Enrolled,0,Basic Education,"(20.0, 25.0]"
389,Graduate,Graduate,0,Social Service (evening attendance),"(20.0, 25.0]"
390,Enrolled,Enrolled,0,Veterinary Nursing,"(20.0, 25.0]"
391,Enrolled,Enrolled,0,Nursing,"(25.0, 70.0]"
392,Dropout,Dropout,1,Journalism and Communication,"(16.999, 19.0]"
393,Dropout,Dropout,1,Veterinary Nursing,"(19.0, 20.0]"
394,Graduate,Graduate,0,Veterinary Nursing,"(16.999, 19.0]"
395,Graduate,Graduate,0,Nursing,"(16.999, 19.0]"
396,Graduate,Graduate,0,Social Service,"(19.0, 20.0]"
397,Graduate,Graduate,0,Veterinary Nursing,"(20.0, 25.0]"
398,Dropout,Dropout,1,Advertising and Marketing Management,"(16.999, 19.0]"
399,Dropout,Dropout,1,Management,"(16.999, 19.0]"
400,Enrolled,Enrolled,0,Communication Design,"(16.999, 19.0]"
401,Enrolled,Enrolled,0,Tourism,"(19.0, 20.0]"
402,Enrolled,Enrolled,0,Journalism and Communication,"(16.999, 19.0]"
403,Enrolled,Enrolled,0,Tourism,"(16.999, 19.0]"
404,Graduate,Graduate,0,Nursing,"(16.999, 19.0]"
405,Graduate,Graduate,0,Animation and Multimedia Design,"(16.999, 19.0]"
406,Graduate,Graduate,0,Communication Design,"(20.0, 25.0]"
