,previous_qualification,previous_qualification_grade,mother_s_qualification,father_s_qualification,admission_grade,curricular_units_first_sem_credited,curricular_units_first_sem_enrolled,curricular_units_first_sem_evaluations,curricular_units_first_sem_approved,curricular_units_first_sem_grade,curricular_units_first_sem_without_evaluations,curricular_units_second_sem_credited,curricular_units_second_sem_enrolled,curricular_units_second_sem_evaluations,curricular_units_second_sem_approved,curricular_units_second_sem_grade,curricular_units_second_sem_without_evaluations,first_sem_approval_ratio,first_sem_unapproved_units,first_sem_approved_per_evaluation,first_sem_without_eval_ratio
18,1,137.0,3,19,136.3,0,5,8,4,12.5,1,0,5,8,4,12.25,2,0.8,1,0.5,0.2
19,1,140.0,19,19,124.6,0,7,7,6,11.66666667,0,0,7,8,6,13.5,0,0.8571428571428571,1,0.8571428571428571,0.0
20,1,122.0,1,1,120.3,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0
21,1,127.0,1,38,121.8,0,7,14,7,11.4375,0,0,8,9,8,11.425,0,1.0,0,0.5,0.0
22,1,142.0,19,19,125.5,0,8,12,7,12.85714286,0,0,8,12,7,12.85714286,0,0.875,1,0.5833333333333334,0.0
23,1,125.0,1,38,114.9,0,6,8,6,13.375,0,0,6,7,6,12.28571429,0,1.0,0,0.75,0.0
24,1,126.0,19,19,123.9,0,7,8,6,13.29666667,0,0,8,9,7,14.11428571,0,0.8571428571428571,1,0.75,0.0
25,1,151.0,19,38,157.0,0,6,8,5,11.6,0,0,6,12,4,11.0,0,0.8333333333333334,1,0.625,0.0
26,1,115.0,19,38,116.4,0,6,9,6,11.375,0,0,6,9,6,13.28571429,0,1.0,0,0.6666666666666666,0.0
27,1,138.0,19,19,131.0,0,5,9,5,12.66666667,2,0,5,7,4,13.0,0,1.0,0,0.5555555555555556,0.4
28,1,135.0,19,1,122.1,0,5,6,5,12.0,0,0,5,6,5,12.33333333,0,1.0,0,0.8333333333333334,0.0
29,1,127.0,3,3,118.8,0,7,9,6,12.93333333,0,0,7,7,6,13.71666667,0,0.8571428571428571,1,0.6666666666666666,0.0
30,39,150.0,4,5,150.0,0,6,15,5,11.85714286,0,0,6,17,5,10.57142857,0,0.8333333333333334,1,0.3333333333333333,0.0
31,1,125.0,42,3,130.0,2,6,7,6,12.83333333,0,0,6,9,4,13.4,0,1.0,0,0.8571428571428571,0.0
32,1,143.0,1,1,138.8,0,5,9,3,11.33333333,0,0,5,8,2,13.5,0,0.6,2,0.3333333333333333,0.0
33,1,138.0,19,1,134.5,0,6,6,6,12.66666667,0,0,6,8,6,14.375,0,1.0,0,1.0,0.0
34,1,130.0,2,37,131.4,0,5,6,5,12.4,0,0,5,9,5,13.42857143,0,1.0,0,0.8333333333333334,0.0
35,1,130.0,38,37,102.5,0,7,7,0,0.0,0,0,7,7,1,10.0,0,0.0,7,0.0,0.0
36,10,133.1,34,37,128.8,0,5,0,0,0.0,0,0,5,0,0,0.0,0,0.0,5,0.0,0.0
37,1,140.0,37,37,122.9,0,5,10,1,10.0,0,0,5,8,2,12.0,2,0.2,4,0.1,0.0
38,1,120.0,19,19,113.9,0,5,8,5,11.0,0,0,5,5,5,11.6,0,1.0,0,0.625,0.0
39,39,120.0,4,4,120.0,2,6,13,3,11.66666667,0,1,6,11,3,12.0,0,0.5,3,0.23076923076923078,0.0
40,1,126.0,3,3,121.1,0,6,6,4,12.75,0,0,5,5,0,0.0,0,0.6666666666666666,2,0.6666666666666666,0.0
41,1,133.0,3,19,120.4,0,5,5,5,14.8,0,0,5,5,5,15.8,0,1.0,0,1.0,0.0
42,1,103.0,1,3,100.6,0,7,9,5,13.928,0,0,8,9,7,14.34285714,0,0.7142857142857143,2,0.5555555555555556,0.0
43,1,120.0,1,38,121.4,0,6,7,4,13.0,0,0,6,7,5,13.8,0,0.6666666666666666,2,0.5714285714285714,0.0
44,1,133.1,37,37,109.7,0,5,0,0,0.0,0,0,5,0,0,0.0,0,0.0,5,0.0,0.0
45,1,154.0,38,38,134.1,0,5,9,2,11.5,0,0,5,11,3,14.33333333,1,0.4,3,0.2222222222222222,0.0
46,1,130.0,19,19,127.6,0,6,6,6,11.66666667,0,0,6,8,5,13.2,0,1.0,0,1.0,0.0
47,1,132.0,37,19,132.4,0,7,8,6,13.51666667,0,0,8,9,7,13.77142857,0,0.8571428571428571,1,0.75,0.0
48,39,130.0,1,19,133.4,3,6,6,6,11.5,0,2,6,7,6,13.28571429,0,1.0,0,1.0,0.0
49,1,139.0,37,38,126.1,0,6,7,5,12.33333333,0,0,6,7,6,12.83333333,0,0.8333333333333334,1,0.7142857142857143,0.0
50,1,130.0,19,38,113.5,0,6,6,6,13.66666667,0,0,6,6,6,14.16666667,0,1.0,0,1.0,0.0
51,1,139.0,37,38,121.3,0,8,10,6,11.83333333,0,0,8,10,6,11.83333333,0,0.75,2,0.6,0.0
52,1,127.0,1,19,121.8,0,6,11,4,14.0,0,0,6,12,3,11.0,0,0.6666666666666666,2,0.36363636363636365,0.0
53,1,167.0,37,37,159.3,0,5,7,5,14.71428571,0,0,5,5,5,15.8,0,1.0,0,0.7142857142857143,0.0
54,1,130.0,38,38,120.0,0,5,12,5,10.6,0,0,5,10,5,11.0,0,1.0,0,0.4166666666666667,0.0
55,1,130.0,1,19,129.1,0,7,9,7,13.04444444,0,0,8,10,8,13.595,0,1.0,0,0.7777777777777778,0.0
56,3,130.0,1,3,130.0,0,6,10,0,0.0,0,0,6,6,0,0.0,0,0.0,6,0.0,0.0
57,40,129.0,3,3,155.3,0,6,9,5,13.0,0,5,11,13,10,12.9,0,0.8333333333333334,1,0.5555555555555556,0.0
58,1,141.0,38,38,139.8,0,8,8,8,14.935,0,0,8,8,8,14.935,0,1.0,0,1.0,0.0
59,1,125.0,38,37,115.2,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0
60,1,125.0,19,19,114.9,0,7,8,6,13.13333333,0,0,8,12,7,12.22142857,0,0.8571428571428571,1,0.75,0.0
61,39,130.0,19,1,131.9,3,6,7,6,12.0,0,2,6,7,6,12.0,0,1.0,0,0.8571428571428571,0.0
62,1,133.0,1,37,126.0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0
63,1,127.0,1,1,130.2,0,6,6,5,11.4,0,0,6,8,1,10.0,0,0.8333333333333334,1,0.8333333333333334,0.0
64,1,116.0,1,1,120.9,0,6,6,0,0.0,0,0,6,6,0,0.0,0,0.0,6,0.0,0.0
65,19,133.1,1,1,126.0,2,7,10,5,11.9,0,1,8,10,5,11.0,0,0.7142857142857143,2,0.5,0.0
66,1,139.0,19,19,128.2,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0
67,39,130.0,19,37,130.0,0,6,8,6,12.57142857,0,0,6,7,6,12.42857143,0,1.0,0,0.75,0.0
68,1,125.0,1,38,120.1,0,5,8,5,11.2,0,0,5,10,4,10.75,3,1.0,0,0.625,0.0
69,1,160.0,19,37,100.0,0,6,7,6,12.0,0,0,6,8,5,10.8,0,1.0,0,0.8571428571428571,0.0
70,1,148.0,38,37,134.0,0,5,9,0,0.0,0,0,5,5,0,0.0,0,0.0,5,0.0,0.0
71,1,150.0,37,19,130.8,0,7,8,7,11.975,0,0,8,8,8,13.75,0,1.0,0,0.875,0.0
72,1,141.0,19,19,135.8,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0
73,1,118.0,38,37,111.7,0,6,12,3,11.66666667,0,0,6,12,1,12.0,0,0.5,3,0.25,0.0
74,1,142.0,38,38,132.9,0,6,8,6,12.33333333,0,0,6,11,3,12.33333333,0,1.0,0,0.75,0.0
75,1,120.0,19,19,115.5,0,5,8,3,10.33333333,0,0,5,11,3,10.85714286,0,0.6,2,0.375,0.0
76,1,106.0,19,37,106.0,0,6,8,4,10.5,0,0,6,11,1,11.0,0,0.6666666666666666,2,0.5,0.0
77,1,121.0,1,19,120.3,0,6,6,6,13.66666667,0,0,6,6,6,13.33333333,0,1.0,0,1.0,0.0
78,1,150.0,38,37,130.8,0,7,7,7,14.84285714,0,0,8,9,8,15.05555556,0,1.0,0,1.0,0.0
79,1,120.0,37,37,117.0,0,6,8,6,12.0,0,0,6,6,6,11.66666667,0,1.0,0,0.75,0.0
80,1,114.0,19,19,110.2,0,6,8,5,12.2,0,0,6,7,5,12.2,0,0.8333333333333334,1,0.625,0.0
81,2,140.0,3,3,155.7,0,1,1,0,0.0,1,0,5,0,0,0.0,0,0.0,1,0.0,1.0
82,4,160.0,3,3,180.4,6,12,17,6,12.16666667,0,7,12,14,10,13.3,0,0.5,6,0.35294117647058826,0.0
83,1,120.0,19,19,125.5,0,5,6,5,12.0,0,0,5,8,3,11.33333333,0,1.0,0,0.8333333333333334,0.0
84,1,130.0,37,37,110.0,0,6,7,6,11.0,0,0,6,11,5,11.0,0,1.0,0,0.8571428571428571,0.0
85,1,160.0,37,38,161.0,0,8,8,7,13.08,0,0,8,8,7,13.08,0,0.875,1,0.875,0.0
86,1,120.0,1,19,100.0,0,5,7,4,10.5,0,0,5,7,5,11.6,0,0.8,1,0.5714285714285714,0.0
87,1,124.0,19,38,117.6,0,6,9,6,10.66666667,1,0,6,6,5,11.2,0,1.0,0,0.6666666666666666,0.16666666666666666
88,1,143.0,38,37,128.7,0,5,6,4,14.0,0,0,5,5,5,13.8,0,0.8,1,0.6666666666666666,0.0
89,1,115.0,38,19,112.2,0,5,9,2,10.0,0,0,5,9,0,0.0,0,0.4,3,0.2222222222222222,0.0
90,1,133.1,1,1,100.8,0,7,18,0,0.0,0,0,7,7,0,0.0,0,0.0,7,0.0,0.0
91,1,133.1,19,1,105.0,0,6,6,6,14.0,0,0,6,6,6,13.5,0,1.0,0,1.0,0.0
92,1,133.1,1,1,100.0,0,6,7,2,12.0,1,0,6,6,0,0.0,0,0.3333333333333333,4,0.2857142857142857,0.16666666666666666
93,10,133.1,37,34,115.5,0,6,12,3,12.66666667,0,0,6,14,0,0.0,1,0.5,3,0.25,0.0
94,1,133.1,37,19,114.0,2,8,11,8,11.875,0,0,6,7,6,12.33333333,0,1.0,0,0.7272727272727273,0.0
95,1,130.0,38,3,137.0,0,5,9,5,14.0,0,0,5,11,3,13.25,0,1.0,0,0.5555555555555556,0.0
96,1,135.0,37,1,124.9,0,6,6,6,13.66666667,0,0,6,6,6,13.33333333,0,1.0,0,1.0,0.0
97,1,132.0,37,37,120.3,0,7,7,7,13.75,0,0,8,9,8,14.47777778,0,1.0,0,1.0,0.0
98,1,135.0,1,2,134.3,0,5,7,5,14.2,2,0,5,7,5,13.8,0,1.0,0,0.7142857142857143,0.4
99,1,115.0,3,3,111.5,0,7,10,4,11.96,0,0,7,7,0,0.0,0,0.5714285714285714,3,0.4,0.0
100,42,130.0,38,38,128.8,7,10,12,8,12.875,0,4,9,14,5,13.4,0,0.8,2,0.6666666666666666,0.0
101,1,133.1,1,1,110.0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0
102,1,130.0,37,37,113.5,0,6,0,0,0.0,0,0,6,0,0,0.0,0,0.0,6,0.0,0.0
103,12,133.1,37,37,160.0,13,18,19,18,14.63157895,0,10,13,14,13,14.23076923,1,1.0,0,0.9473684210526315,0.0
104,1,123.0,19,19,117.4,0,6,0,0,0.0,0,0,6,0,0,0.0,0,0.0,6,0.0,0.0
105,1,130.0,3,1,122.2,4,10,12,10,13.0,0,5,11,11,11,12.27272727,0,1.0,0,0.8333333333333334,0.0
106,1,122.0,37,38,118.2,0,6,0,0,0.0,0,0,6,0,0,0.0,0,0.0,6,0.0,0.0
107,1,113.0,1,1,106.7,0,6,15,4,14.2,0,0,6,17,4,13.25,0,0.6666666666666666,2,0.26666666666666666,0.0
108,1,111.0,3,4,108.2,2,7,9,6,13.26666667,0,0,7,10,5,12.3,0,0.8571428571428571,1,0.6666666666666666,0.0
109,1,133.1,19,1,107.0,0,7,12,6,11.66666667,0,0,7,10,3,13.0,0,0.8571428571428571,1,0.5,0.0
110,1,142.0,37,37,136.1,0,6,8,6,13.85714286,0,0,6,6,6,15.0,0,1.0,0,0.75,0.0
111,1,123.0,1,38,115.3,0,5,9,3,13.0,0,0,5,11,3,11.0,0,0.6,2,0.3333333333333333,0.0
112,1,131.0,19,19,139.8,0,5,6,5,13.4,0,0,5,5,5,12.8,0,1.0,0,0.8333333333333334,0.0
113,1,158.0,1,38,157.0,0,6,6,6,12.66666667,0,0,6,7,6,12.57142857,0,1.0,0,1.0,0.0
114,1,122.0,37,37,131.0,0,7,7,6,12.51666667,1,0,7,7,6,12.51666667,1,0.8571428571428571,1,0.8571428571428571,0.14285714285714285
115,1,130.0,38,38,100.0,0,7,11,6,11.61666667,0,0,7,7,7,13.0,0,0.8571428571428571,1,0.5454545454545454,0.0
116,1,154.0,19,37,140.4,0,6,13,2,10.0,0,0,6,12,4,10.75,0,0.3333333333333333,4,0.15384615384615385,0.0
117,1,120.0,19,19,113.4,0,5,11,3,10.33333333,0,0,5,10,3,10.66666667,0,0.6,2,0.2727272727272727,0.0
118,1,140.0,37,38,137.0,0,5,12,5,13.14285714,2,0,5,6,5,11.4,0,1.0,0,0.4166666666666667,0.4
119,1,127.0,2,19,121.8,0,5,5,5,12.6,0,0,5,5,5,14.0,0,1.0,0,1.0,0.0
120,1,133.1,1,1,131.0,0,6,12,3,11.0,0,0,6,12,2,11.0,0,0.5,3,0.25,0.0
121,1,120.0,19,19,118.6,0,5,8,5,10.8,0,0,5,9,4,11.25,2,1.0,0,0.625,0.0
122,1,137.0,3,19,122.3,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0
123,1,131.0,38,38,127.9,0,5,5,5,12.8,0,0,5,5,5,14.2,0,1.0,0,1.0,0.0
124,1,130.0,19,38,121.3,0,6,15,6,14.16666667,0,0,6,13,6,12.2,0,1.0,0,0.4,0.0
125,1,122.0,1,1,117.1,0,7,12,5,12.1,0,0,7,0,0,0.0,0,0.7142857142857143,2,0.4166666666666667,0.0
126,39,160.0,37,37,160.0,1,6,7,6,14.16666667,0,1,6,17,5,13.77777778,0,1.0,0,0.8571428571428571,0.0
127,1,146.0,19,38,145.3,0,6,8,5,12.8,0,0,6,7,5,13.4,0,0.8333333333333334,1,0.625,0.0
128,1,131.0,1,39,122.6,0,6,7,6,13.0,0,0,6,6,6,13.66666667,0,1.0,0,0.8571428571428571,0.0
129,1,132.0,1,37,128.0,0,7,7,7,13.46714286,0,0,8,9,8,15.01111111,0,1.0,0,1.0,0.0
130,1,138.0,19,19,124.9,0,7,9,7,13.2375,0,0,8,9,7,13.74285714,0,1.0,0,0.7777777777777778,0.0
131,1,130.0,37,37,123.7,0,6,6,6,12.33333333,0,0,6,6,6,13.0,0,1.0,0,1.0,0.0
132,1,126.0,1,19,120.1,0,5,7,5,12.4,0,0,5,5,5,14.6,0,1.0,0,0.7142857142857143,0.0
133,1,148.0,1,19,131.7,0,7,8,5,14.0,0,0,7,7,0,0.0,0,0.7142857142857143,2,0.625,0.0
134,1,130.0,38,37,133.2,5,9,15,9,11.66666667,0,2,7,8,7,11.71428571,0,1.0,0,0.6,0.0
135,1,117.0,1,38,109.3,0,6,7,5,12.0,0,0,6,9,4,12.5,0,0.8333333333333334,1,0.7142857142857143,0.0
136,1,120.0,19,19,113.0,0,5,7,4,12.2,0,0,5,5,4,11.5,0,0.8,1,0.5714285714285714,0.0
137,1,153.0,1,1,157.9,0,6,6,6,14.83333333,0,0,6,6,6,14.83333333,0,1.0,0,1.0,0.0
138,1,117.0,19,1,112.1,0,7,9,5,13.188,0,0,8,9,7,12.89285714,0,0.7142857142857143,2,0.5555555555555556,0.0
139,1,178.0,19,1,174.7,0,7,8,7,17.125,0,0,8,8,8,17.5875,0,1.0,0,0.875,0.0
140,1,129.0,37,37,128.8,0,7,7,6,12.66666667,0,0,7,7,6,12.66666667,0,0.8571428571428571,1,0.8571428571428571,0.0
141,1,116.0,19,1,110.1,0,6,8,6,12.66666667,0,0,6,10,5,12.0,0,1.0,0,0.75,0.0
142,1,99.0,3,1,99.7,0,5,8,0,0.0,0,0,5,7,0,0.0,0,0.0,5,0.0,0.0
143,1,135.0,1,12,121.0,0,6,7,6,11.33333333,0,0,6,6,6,11.5,0,1.0,0,0.8571428571428571,0.0
144,1,141.0,19,19,131.7,0,7,10,7,13.605,0,0,8,11,8,12.33125,0,1.0,0,0.7,0.0
145,1,132.0,37,38,119.1,0,6,10,5,12.0,0,0,6,9,5,10.8,0,0.8333333333333334,1,0.5,0.0
146,1,132.0,12,19,124.7,0,5,10,0,0.0,0,0,5,10,0,0.0,0,0.0,5,0.0,0.0
147,1,113.0,1,37,117.2,0,6,8,5,11.2,0,0,6,12,3,11.66666667,0,0.8333333333333334,1,0.625,0.0
148,1,134.0,3,19,128.8,0,5,10,5,13.375,0,0,5,9,5,14.16666667,0,1.0,0,0.5,0.0
149,1,136.0,1,19,131.5,0,7,8,6,13.86333333,0,0,8,9,7,14.17857143,0,0.8571428571428571,1,0.75,0.0
150,1,136.0,3,37,121.7,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0
151,1,129.0,1,38,123.4,0,5,6,5,12.4,0,0,5,6,5,13.4,0,1.0,0,0.8333333333333334,0.0
152,1,138.0,38,38,124.7,0,6,11,3,12.33333333,0,0,6,10,5,10.83333333,0,0.5,3,0.2727272727272727,0.0
153,1,137.0,37,37,132.8,0,6,7,6,13.33333333,0,0,6,8,5,11.8,0,1.0,0,0.8571428571428571,0.0
154,1,115.0,3,37,108.7,0,6,10,3,12.66666667,0,0,6,12,3,10.0,0,0.5,3,0.3,0.0
155,1,129.0,38,37,138.1,0,6,8,6,12.0,0,0,6,10,4,11.5,0,1.0,0,0.75,0.0
156,1,131.0,38,38,126.5,0,5,5,5,10.6,0,0,5,5,5,11.8,0,1.0,0,1.0,0.0
157,1,133.0,1,37,127.4,0,6,8,6,12.25,0,0,6,7,6,11.85714286,0,1.0,0,0.75,0.0
158,1,125.0,19,1,123.6,0,6,10,4,11.0,0,0,6,9,6,11.83333333,0,0.6666666666666666,2,0.4,0.0
159,1,120.0,1,19,122.0,0,6,11,5,11.0,0,0,6,9,5,12.6,0,0.8333333333333334,1,0.45454545454545453,0.0
160,1,128.0,19,1,118.2,0,6,6,6,13.16666667,0,0,6,9,6,13.0,0,1.0,0,1.0,0.0
161,1,127.0,19,37,123.9,0,7,9,7,12.85555556,0,0,8,12,7,12.76111111,0,1.0,0,0.7777777777777778,0.0
162,1,134.0,19,19,125.8,0,7,8,7,14.91875,0,0,8,8,8,15.355,0,1.0,0,0.875,0.0
163,1,132.0,12,12,123.3,0,6,13,4,11.5,0,0,6,10,3,11.0,0,0.6666666666666666,2,0.3076923076923077,0.0
164,1,124.0,1,19,124.4,0,5,5,5,14.2,0,0,5,5,5,14.2,0,1.0,0,1.0,0.0
165,1,133.1,19,37,126.0,0,6,6,6,12.5,0,0,6,7,6,13.0,0,1.0,0,1.0,0.0
166,1,170.0,1,37,170.0,0,1,1,0,0.0,0,0,6,0,0,0.0,0,0.0,1,0.0,0.0
167,1,125.0,19,19,121.5,0,6,10,5,11.66666667,0,0,6,12,4,11.0,0,0.8333333333333334,1,0.5,0.0
168,3,130.0,2,2,130.0,1,8,8,7,14.25714286,0,1,8,8,7,14.25714286,0,0.875,1,0.875,0.0
169,1,125.0,19,19,117.0,0,6,13,3,12.0,0,0,6,12,2,11.33333333,0,0.5,3,0.23076923076923078,0.0
170,1,130.0,37,19,130.0,0,5,13,4,11.25,1,0,5,11,4,10.5,0,0.8,1,0.3076923076923077,0.2
171,1,133.1,37,37,108.0,0,7,8,7,12.45714286,0,0,8,8,8,13.5625,0,1.0,0,0.875,0.0
172,1,131.0,2,38,132.3,0,7,7,6,11.68333333,0,0,7,7,6,11.68333333,0,0.8571428571428571,1,0.8571428571428571,0.0
173,1,150.0,19,2,148.0,0,6,10,3,11.66666667,0,0,6,8,5,12.0,0,0.5,3,0.3,0.0
174,1,125.0,37,37,122.6,0,6,8,4,11.75,0,0,6,6,6,13.16666667,0,0.6666666666666666,2,0.5,0.0
175,1,131.0,37,37,123.0,0,5,6,3,11.66666667,0,0,5,6,4,13.5,0,0.6,2,0.5,0.0
176,1,130.0,37,19,102.5,0,6,9,5,13.2,0,0,6,10,5,12.0,0,0.8333333333333334,1,0.5555555555555556,0.0
177,1,123.0,34,34,113.3,0,7,8,4,11.95,0,0,7,8,4,11.95,0,0.5714285714285714,3,0.5,0.0
178,1,141.0,37,19,133.0,0,6,8,5,12.4,0,0,6,12,5,10.4,0,0.8333333333333334,1,0.625,0.0
179,3,140.0,1,1,140.0,2,7,8,6,14.35,0,3,8,10,6,14.58333333,0,0.8571428571428571,1,0.75,0.0
180,1,140.0,3,1,128.3,19,21,21,21,12.61904762,0,13,19,19,19,12.78947368,0,1.0,0,1.0,0.0
181,39,140.0,37,19,140.0,2,6,7,6,12.66666667,0,2,6,7,6,13.16666667,1,1.0,0,0.8571428571428571,0.0
182,19,133.1,19,19,104.0,0,6,6,5,12.0,0,0,6,6,0,0.0,0,0.8333333333333334,1,0.8333333333333334,0.0
183,1,131.0,1,37,122.3,0,6,6,6,12.16666667,0,0,6,6,0,0.0,0,1.0,0,1.0,0.0
184,1,143.0,1,19,135.0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,0.0,6,0.0,0.0
185,1,132.0,3,3,119.1,0,5,9,3,10.0,0,0,5,9,3,10.57142857,0,0.6,2,0.3333333333333333,0.0
186,1,143.0,1,37,126.6,5,10,18,8,11.5,0,0,6,12,4,10.0,0,0.8,2,0.4444444444444444,0.0
187,1,141.0,38,1,129.0,0,7,7,6,13.05,0,0,7,7,6,13.05,0,0.8571428571428571,1,0.8571428571428571,0.0
188,1,133.1,1,19,162.3,0,6,10,2,11.0,0,0,6,6,0,0.0,0,0.3333333333333333,4,0.2,0.0
189,1,148.0,1,3,163.4,0,6,7,6,11.5,0,0,6,6,6,12.0,0,1.0,0,0.8571428571428571,0.0
190,1,125.0,19,38,121.5,0,6,7,6,12.0,0,0,6,6,6,12.5,0,1.0,0,0.8571428571428571,0.0
191,1,120.0,1,37,122.8,0,6,13,2,10.0,0,0,5,12,1,10.0,0,0.3333333333333333,4,0.15384615384615385,0.0
192,1,140.0,12,3,118.0,0,5,5,0,0.0,0,0,5,5,0,0.0,0,0.0,5,0.0,0.0
193,1,139.0,1,1,134.0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,0.0,6,0.0,0.0
194,1,142.0,38,38,129.8,0,8,8,7,12.24285714,0,0,8,8,7,12.24285714,0,0.875,1,0.875,0.0
195,40,130.0,19,1,152.0,0,5,0,0,0.0,0,0,5,0,0,0.0,0,0.0,5,0.0,0.0
196,1,126.0,37,37,122.8,0,8,8,8,12.93375,0,0,8,8,8,12.93375,0,1.0,0,1.0,0.0
197,3,150.0,3,2,150.0,0,5,0,0,0.0,0,0,5,0,0,0.0,0,0.0,5,0.0,0.0
198,1,130.0,19,19,131.8,0,7,9,7,12.57142857,0,0,7,8,7,14.42857143,0,1.0,0,0.7777777777777778,0.0
199,1,120.0,1,3,105.9,0,3,4,3,11.81666667,0,0,3,3,3,11.33333333,0,1.0,0,0.75,0.0
200,1,138.0,1,1,132.1,0,5,9,4,13.75,0,0,5,13,4,14.33333333,2,0.8,1,0.4444444444444444,0.0
201,1,127.0,19,19,127.4,0,6,8,6,11.16666667,0,0,6,6,6,11.33333333,0,1.0,0,0.75,0.0
202,1,140.0,19,19,129.5,0,8,8,7,12.32428571,0,0,8,8,7,12.32428571,0,0.875,1,0.875,0.0
203,39,130.0,38,38,126.7,3,6,6,6,12.16666667,0,2,6,7,6,11.71428571,0,1.0,0,1.0,0.0
204,1,128.0,19,37,116.5,0,6,11,5,11.14285714,0,0,6,11,4,11.25,0,0.8333333333333334,1,0.45454545454545453,0.0
205,1,132.0,34,34,119.1,0,6,9,4,11.0,0,0,6,9,4,10.75,0,0.6666666666666666,2,0.4444444444444444,0.0
206,1,149.0,19,38,126.5,0,8,8,7,12.91428571,0,0,8,8,7,12.91428571,0,0.875,1,0.875,0.0
207,1,155.0,3,19,149.8,0,6,6,6,13.83333333,0,0,6,6,6,14.16666667,0,1.0,0,1.0,0.0
208,1,120.0,19,1,115.1,0,6,8,6,13.85714286,0,0,6,9,5,13.4,0,1.0,0,0.75,0.0
209,19,133.1,3,19,124.5,0,6,7,6,13.71428571,0,0,6,6,5,12.8,0,1.0,0,0.8571428571428571,0.0
210,1,131.0,38,1,128.3,0,8,8,7,12.64285714,0,0,8,8,7,12.64285714,0,0.875,1,0.875,0.0
211,1,149.0,37,37,136.0,0,7,7,6,12.91666667,0,0,7,7,6,12.91666667,0,0.8571428571428571,1,0.8571428571428571,0.0
212,1,140.0,1,3,140.0,0,6,8,6,15.625,0,0,6,8,6,15.85714286,0,1.0,0,0.75,0.0
213,1,133.1,37,37,126.3,0,5,7,0,0.0,0,0,5,8,0,0.0,0,0.0,5,0.0,0.0
