,application_mode,application_order,course,daytime_evening_attendance,mother_s_occupation,father_s_occupation
139,18,1,9500,1,4,8
140,1,5,9500,1,9,9
141,1,6,9773,1,4,4
142,51,1,9147,1,3,3
143,1,3,9238,1,9,10
144,1,3,9500,1,9,7
145,17,5,9853,1,5,6
146,1,4,9254,1,9,9
147,17,1,9254,1,9,10
148,1,1,9147,1,2,10
149,1,1,9500,1,9,9
150,1,1,171,1,2,8
151,1,1,9085,1,4,7
152,17,1,9853,1,7,6
153,1,1,9853,1,9,9
154,43,1,9853,1,2,5
155,1,1,9853,1,6,6
156,1,1,9147,1,9,9
157,17,2,9238,1,7,9
158,1,3,9238,1,9,10
159,39,1,8014,0,6,8
160,1,1,9670,1,4,1
161,1,1,9500,1,9,7
162,1,2,9500,1,9,9
163,17,5,9853,1,4,4
164,17,2,9670,1,5,4
165,17,1,9773,1,7,7
166,39,1,9003,1,6,6
167,17,3,9238,1,7,8
168,39,1,9500,1,1,1
169,43,1,9238,1,4,8
170,39,1,9085,1,9,7
171,17,2,9556,1,3,10
172,17,1,9500,1,4,5
173,42,1,8014,0,4,6
174,17,2,9254,1,9,8
175,1,1,9670,1,9,9
176,39,1,9853,1,9,5
177,1,2,9500,1,90,90
178,1,5,9853,1,9,5
179,7,1,9500,1,9,5
180,43,1,9853,1,3,3
181,44,1,9991,0,9,8
182,39,1,9773,1,3,4
183,18,3,9070,1,5,5
184,17,2,9254,1,4,6
185,18,2,9147,1,5,7
186,43,1,9238,1,5,9
187,17,3,9500,1,9,4
188,39,1,9085,1,9,9
189,17,4,9070,1,4,1
190,1,1,9254,1,9,8
191,1,1,8014,0,7,3
192,39,1,9147,1,4,3
193,51,1,9853,1,4,10
194,1,4,9500,1,9,8
195,39,1,9991,0,3,4
196,18,6,9500,1,5,5
197,7,1,9119,1,2,2
198,1,1,9853,1,3,8
199,39,1,9500,1,175,121
200,1,1,9085,1,4,7
201,1,4,9238,1,4,0
202,1,4,9500,1,7,7
203,44,1,9238,1,5,10
204,17,2,9238,1,9,8
205,1,1,9238,1,0,0
206,1,2,9500,1,9,9
207,1,4,9773,1,1,4
208,1,1,9085,1,8,7
209,39,1,9254,1,2,3
210,1,2,9500,1,7,4
211,1,1,9500,1,9,9
212,43,1,9130,1,9,2
213,39,1,9991,0,9,9
214,43,1,9773,1,4,5
215,39,1,9556,1,4,5
216,18,1,9147,1,5,5
217,39,1,8014,0,8,7
218,39,1,8014,0,5,4
219,17,1,9085,1,1,3
220,1,1,9147,1,7,7
221,1,4,9853,1,5,7
222,1,3,9254,1,3,3
223,51,1,9500,1,5,9
224,18,1,9500,1,4,5
225,7,1,9991,0,3,3
226,7,1,9147,1,3,10
227,1,1,9238,1,9,9
228,39,2,9670,1,0,0
229,43,1,9500,1,5,8
230,1,2,9254,1,4,5
231,39,1,9254,1,4,6
232,1,2,9670,1,4,3
233,1,1,9254,1,9,9
234,1,1,9147,1,9,10
235,1,1,9238,1,9,9
236,1,1,9853,1,5,7
237,17,2,9238,1,3,9
238,1,1,9130,1,9,9
239,39,1,9085,1,9,7
240,1,3,9500,1,4,4
241,16,1,171,1,3,3
242,1,2,9147,1,5,5
243,39,1,9147,1,9,1
244,1,1,9147,1,9,10
245,7,1,9500,1,5,3
246,17,3,9500,1,7,6
247,44,1,9003,1,9,10
248,1,3,9254,1,4,7
249,1,1,9670,1,9,8
250,1,3,9070,1,9,9
251,1,3,9773,1,7,7
252,1,1,9085,1,90,6
253,1,1,9773,1,9,8
254,17,1,9147,1,4,4
255,39,1,9556,1,7,7
256,17,1,9991,0,6,6
257,17,3,9070,1,9,9
258,1,1,9238,1,9,8
259,43,1,9238,1,3,1
260,1,1,9254,1,9,7
261,39,1,8014,0,99,99
262,43,1,9119,1,9,9
263,1,1,9238,1,4,4
264,1,1,9238,1,9,5
265,1,2,9773,1,1,3
266,17,4,9500,1,2,3
267,1,2,9773,1,9,9
268,1,1,9070,1,9,9
269,1,5,9500,1,9,9
270,44,1,9003,1,4,8
271,1,2,9147,1,9,9
272,17,1,9147,1,4,8
273,1,1,9500,1,2,5
274,1,1,9238,1,4,5
275,17,3,9500,1,4,10
276,42,1,9853,1,3,3
277,7,1,9130,1,2,0
278,1,1,9500,1,5,6
279,1,1,9500,1,5,5
280,16,2,9147,1,9,9
281,1,1,8014,0,4,10
282,51,1,9991,0,8,4
283,1,1,9070,1,7,5
284,1,1,8014,0,0,0
285,39,1,9773,1,4,4
286,17,1,9070,1,2,9
287,39,1,8014,0,90,2
288,18,2,8014,0,3,4
289,39,1,9500,1,1,1
290,17,4,9085,1,4,10
291,44,1,9003,1,6,6
292,44,1,9003,1,9,4
293,17,4,9238,1,191,144
294,1,1,9070,1,3,6
295,1,1,9500,1,2,4
296,17,2,9773,1,9,8
297,1,1,9238,1,3,3
298,17,4,9556,1,4,10
299,1,1,9500,1,5,7
300,17,4,9670,1,9,7
301,1,2,9085,1,9,9
302,1,1,9500,1,4,9
303,51,1,9670,1,5,5
304,17,2,9238,1,4,3
305,1,1,9670,1,4,10
306,17,4,9670,1,5,5
307,39,1,9130,1,90,90
308,1,3,9085,1,90,90
309,44,1,9130,1,7,8
310,51,1,9238,1,2,1
311,17,1,9853,1,0,0
312,17,2,9147,1,4,8
313,17,4,9853,1,5,7
314,51,1,9147,1,4,4
315,1,1,9147,1,4,3
316,1,1,9500,1,3,6
317,1,1,9500,1,3,5
318,1,1,9238,1,5,9
319,17,1,9500,1,7,7
320,7,1,9085,1,9,5
321,42,1,9500,1,7,9
322,1,1,9500,1,5,1
323,43,4,9147,1,9,9
324,5,3,9085,1,7,5
325,1,1,9254,1,5,8
326,43,1,9500,1,9,9
327,1,1,9238,1,9,6
328,1,1,9853,1,4,4
329,1,1,9085,1,9,5
330,1,1,9853,1,9,6
331,44,1,9119,1,4,7
332,1,1,9238,1,7,7
333,1,1,8014,0,9,10
334,1,1,9238,1,4,9
335,44,1,9238,1,7,7
336,7,1,9853,1,2,1
337,1,4,9500,1,7,7
338,17,1,9238,1,9,10
339,17,1,9130,1,3,5
340,1,1,9085,1,3,1
341,1,1,171,1,2,2
342,39,1,8014,0,9,9
343,39,1,9003,1,1,2
344,42,1,9147,1,9,1
345,1,1,9773,1,7,5
346,43,1,9238,1,9,9
347,39,1,9991,0,6,6
348,39,1,9238,1,9,9
349,1,2,8014,0,3,9
350,1,1,9254,1,9,9
351,43,1,9773,1,9,8
352,1,4,171,1,9,5
353,1,1,9500,1,9,7
354,1,1,9254,1,4,6
355,17,1,9085,1,4,5
356,39,1,9500,1,9,9
357,39,1,9991,0,90,8
358,39,1,9003,1,3,8
359,39,1,9085,1,2,3
360,17,4,9853,1,4,1
361,1,1,9773,1,9,7
362,17,4,9147,1,9,10
363,53,1,9085,1,9,8
364,1,4,9500,1,9,1
365,1,1,9085,1,7,5
366,1,4,9500,1,4,8
367,17,1,9085,1,2,7
368,1,1,9853,1,191,195
369,1,6,9500,1,9,5
370,43,1,8014,0,9,4
371,39,1,9991,0,9,7
372,17,1,9773,1,4,7
373,39,1,9991,0,141,192
374,39,1,9085,1,4,7
375,51,1,8014,0,9,9
376,18,4,9147,1,9,9
377,1,1,9500,1,4,4
378,17,1,9853,1,3,3
379,44,1,9085,1,5,6
380,39,1,9500,1,5,7
381,43,1,9500,1,8,8
382,1,1,9238,1,5,7
383,1,1,9853,1,5,5
384,53,1,9147,1,2,1
385,1,1,9238,1,0,0
386,1,1,9853,1,9,9
387,39,1,9991,0,9,9
388,17,1,9853,1,4,5
389,44,1,8014,0,7,7
390,44,1,9085,1,4,5
391,39,1,9500,1,5,3
392,1,6,9773,1,7,7
393,17,2,9085,1,9,10
394,17,2,9085,1,4,3
395,1,4,9500,1,4,9
396,51,1,9238,1,3,10
397,44,1,9085,1,4,6
398,17,1,9670,1,5,8
399,17,1,9147,1,6,4
400,17,4,9070,1,3,3
401,17,1,9254,1,7,7
402,1,1,9773,1,9,9
403,1,1,9254,1,9,9
404,17,1,9500,1,5,5
405,1,1,171,1,3,9
406,7,1,9070,1,3,9
407,39,1,9991,0,9,9
408,17,1,9238,1,4,4
409,39,1,9085,1,0,0
410,1,2,9500,1,7,7
411,39,1,9500,1,4,8
412,1,3,9500,1,4,10
413,7,1,9991,0,6,6
414,1,1,9238,1,9,7
415,1,1,9085,1,90,90
416,1,1,9085,1,9,9
417,1,1,9853,1,9,9
418,1,4,9500,1,9,9
419,1,4,9500,1,4,5
420,1,1,9500,1,2,8
421,42,1,9991,0,4,3
422,44,1,9085,1,4,6
423,1,6,9500,1,3,3
424,17,6,9556,1,5,3
425,1,1,9500,1,9,3
426,1,4,9670,1,3,7
427,17,1,9147,1,9,2
428,1,2,9085,1,4,4
429,17,1,9670,1,4,10
430,1,3,9500,1,9,9
431,39,1,8014,0,7,8
432,17,2,9147,1,6,8
433,1,1,9500,1,90,3
434,1,1,9773,1,4,8
435,1,6,9500,1,5,5
436,17,1,9254,1,5,5
437,1,1,9670,1,4,5
438,1,5,9670,1,2,4
439,39,1,9500,1,9,9
440,43,1,9556,1,3,2
441,43,1,9130,1,4,5
442,17,6,9500,1,9,3
443,1,5,9500,1,7,8
444,17,1,9670,1,1,1
445,1,1,9238,1,9,3
446,1,1,9500,1,2,1
447,1,2,9500,1,7,7
448,1,2,9773,1,9,7
449,1,3,9254,1,3,10
450,18,1,9500,1,5,5
451,1,4,9500,1,9,8
452,1,2,9500,1,7,5
453,17,4,9085,1,4,7
454,1,3,9147,1,9,7
455,39,1,8014,0,99,99
456,7,1,9003,1,5,6
457,43,1,9853,1,9,8
458,39,1,9003,1,4,9
459,17,1,9773,1,5,7
460,1,1,9130,1,3,2
461,51,1,9070,1,5,7
462,17,1,9238,1,2,3
463,39,1,9147,1,3,5
464,17,1,9238,1,4,9
465,43,1,8014,0,2,3
466,1,1,9853,1,5,10
467,43,6,9238,1,0,0
468,1,5,9500,1,4,8
469,17,1,9238,1,4,9
470,17,3,9500,1,9,9
471,1,1,9254,1,9,7
472,1,1,9670,1,7,10
473,1,2,9500,1,9,9
474,39,1,9254,1,0,0
475,1,1,9670,1,3,5
476,1,2,9556,1,9,9
477,7,1,9500,1,0,0
478,1,1,9500,1,3,3
479,17,1,9238,1,191,175
480,1,1,9500,1,4,4
481,18,6,9500,1,1,1
482,1,3,9500,1,2,5
483,44,1,9085,1,9,7
484,1,3,9500,1,9,5
485,17,1,9853,1,7,9
486,43,2,9670,1,4,3
487,39,1,9670,1,5,4
488,17,3,9500,1,9,7
489,1,3,9500,1,5,5
490,1,1,9070,1,3,8
491,1,1,9670,1,5,5
492,1,6,9500,1,3,2
493,1,1,9085,1,9,4
494,1,1,9853,1,2,5
495,7,3,9130,1,90,5
496,39,1,9556,1,9,9
497,17,1,9254,1,4,3
498,17,1,9070,1,9,7
499,17,1,9500,1,7,7
500,17,3,9085,1,9,9
501,17,2,9254,1,9,9
502,1,1,9070,1,4,4
503,7,2,9085,1,1,1
504,1,2,9500,1,7,7
505,39,1,9500,1,151,161
506,39,1,33,1,2,4
507,1,2,9773,1,9,3
508,1,1,9130,1,2,2
509,1,2,9147,1,4,6
510,1,2,9070,1,2,3
511,39,1,8014,0,99,99
512,39,2,9670,1,0,0
513,39,1,9991,0,9,2
514,18,2,8014,0,9,10
515,18,2,9238,1,9,10
516,39,1,9003,1,9,4
517,17,2,9853,1,9,4
518,39,1,8014,0,0,0
519,17,2,9853,1,9,9
520,1,6,9500,1,5,5
521,17,1,9130,1,2,9
522,15,1,9238,1,2,8
523,18,3,9085,1,9,9
524,1,1,9556,1,1,1
525,43,1,9119,1,9,3
526,39,1,9119,1,5,3
527,39,1,171,1,2,10
528,39,1,9147,1,9,9
529,1,1,9130,1,2,2
530,17,1,9147,1,4,7
531,17,1,9670,1,9,8
532,1,2,9500,1,2,3
533,44,1,9070,1,4,7
534,44,1,171,1,2,2
535,43,1,9991,0,4,4
536,39,1,9119,1,4,4
537,17,1,9254,1,4,4
538,44,1,9003,1,3,9
539,18,3,9773,1,9,9
540,39,1,9500,1,5,5
541,1,1,9147,1,5,7
542,44,1,9003,1,4,10
543,1,1,9500,1,5,3
544,17,2,9119,1,9,10
545,1,2,9147,1,5,10
546,39,1,9119,1,5,10
547,1,1,9670,1,5,6
548,1,1,9500,1,9,9
549,17,2,9147,1,9,7
550,1,5,9119,1,4,5
551,39,1,9773,1,7,9
552,43,1,9070,1,1,10
553,17,3,9119,1,3,2
554,17,2,9147,1,4,4
555,44,1,9003,1,2,2
556,17,1,9147,1,7,4
557,1,1,171,1,9,9
558,44,1,9254,1,194,193
559,42,1,9500,1,9,10
560,53,1,9003,1,141,151
561,1,1,9130,1,3,3
562,39,1,9991,0,4,10
563,1,1,9130,1,9,9
564,1,6,9070,1,9,9
565,39,1,9670,1,3,9
566,39,1,9003,1,2,4
567,17,4,9119,1,0,5
568,17,1,9085,1,8,8
569,39,1,9003,1,2,2
570,1,1,8014,0,9,9
571,1,1,9147,1,9,9
572,17,6,9119,1,5,10
573,1,6,9147,1,4,5
574,43,4,171,1,9,10
575,39,1,9085,1,4,4
576,1,2,9500,1,9,9
577,39,2,9991,0,9,8
578,1,1,9238,1,5,5
579,1,4,9070,1,9,8
580,39,1,8014,0,0,1
581,17,5,9500,1,5,5
582,17,1,9670,1,8,7
583,1,1,9147,1,9,8
584,17,1,9254,1,7,7
585,1,1,9147,1,3,3
586,17,1,9085,1,90,90
587,17,1,9773,1,9,8
588,1,3,9254,1,9,3
589,1,4,9556,1,5,4
590,1,2,9670,1,9,3
591,1,1,9500,1,2,8
592,44,1,9670,1,9,4
593,17,1,9670,1,4,8
594,17,1,9003,1,4,6
595,39,1,9991,0,9,9
596,17,1,9853,1,7,0
597,39,1,9853,1,9,10
598,17,1,9670,1,7,4
599,17,1,9003,1,9,9
600,7,1,9130,1,9,9
601,17,5,9070,1,5,7
602,7,1,9500,1,9,4
603,39,1,8014,0,4,4
604,1,1,9500,1,3,8
605,1,3,171,1,6,6
606,17,1,9130,1,3,2
607,1,6,9500,1,7,7
608,17,1,9085,1,194,193
609,43,3,9500,1,6,5
610,1,2,9853,1,191,182
611,1,1,8014,0,4,7
612,1,1,9070,1,1,1
613,17,3,9147,1,5,7
614,1,1,9500,1,9,9
615,1,6,9500,1,9,9
616,17,2,9238,1,7,8
617,17,1,9500,1,9,8
618,17,2,9500,1,4,7
619,44,1,9085,1,2,3
620,1,1,9773,1,4,5
621,17,2,9147,1,4,3
622,17,5,9853,1,9,7
623,17,1,9500,1,7,5
624,17,4,9070,1,9,9
625,1,1,9853,1,9,8
626,44,1,8014,0,6,6
627,1,3,9500,1,9,7
628,17,2,9773,1,5,6
629,1,1,9773,1,9,9
630,39,1,9500,1,9,9
631,1,2,9853,1,4,9
632,1,1,9500,1,5,7
633,39,1,9556,1,191,193
634,1,1,9670,1,9,7
635,17,5,9238,1,7,5
636,1,5,9500,1,9,9
637,39,1,9991,0,9,4
638,17,3,9238,1,4,5
639,18,1,9773,1,3,3
640,39,1,9670,1,9,0
641,1,6,9147,1,9,9
642,1,1,9147,1,4,9
643,1,3,9500,1,7,7
644,1,2,9773,1,7,7
645,1,1,9147,1,9,9
646,1,1,9238,1,3,5
647,39,1,9991,0,9,7
648,43,2,9556,1,4,3
649,1,1,9670,1,5,1
650,17,1,9238,1,5,0
651,53,1,9085,1,5,5
652,39,1,9500,1,4,3
653,44,1,9238,1,6,9
654,1,1,9773,1,3,5
655,1,4,9238,1,9,6
656,1,1,9238,1,5,10
657,51,1,8014,0,5,7
658,43,1,9070,1,5,10
659,39,1,9003,1,9,9
660,44,1,9003,1,4,2
661,1,1,9500,1,194,193
662,17,4,9773,1,4,1
663,1,3,9670,1,0,0
664,17,3,9500,1,9,7
665,1,1,9085,1,6,6
666,17,2,9773,1,5,5
667,51,1,9238,1,5,7
668,17,5,9500,1,4,8
669,42,1,9500,1,5,7
670,1,1,9238,1,9,9
671,42,1,8014,0,90,7
672,1,4,9500,1,9,7
673,1,2,9070,1,3,3
674,1,1,9254,1,5,8
675,17,1,9853,1,9,9
676,17,4,9070,1,5,7
677,1,1,9853,1,7,7
678,39,1,9773,1,0,0
679,1,1,171,1,2,5
680,17,2,9254,1,9,9
681,44,1,9238,1,4,6
682,18,4,9085,1,4,5
683,39,1,9238,1,9,10
684,39,1,9003,1,9,9
685,43,1,9991,0,9,9
686,39,1,9085,1,1,9
687,17,3,9500,1,9,8
688,39,1,9991,0,9,2
689,39,2,9147,1,9,7
690,39,1,9130,1,9,4
691,43,1,9003,1,9,7
692,1,1,9254,1,9,3
693,39,1,33,1,9,8
694,39,1,9130,1,2,9
695,1,1,9147,1,5,5
696,1,1,8014,0,0,0
697,1,1,9254,1,2,1
698,44,1,9003,1,9,1
699,43,1,9119,1,5,7
700,44,1,9085,1,6,6
701,39,1,9147,1,9,3
702,7,1,9556,1,2,2
703,39,1,9991,0,9,9
704,39,1,9238,1,9,9
705,39,1,9991,0,9,9
706,39,1,8014,0,4,8
707,39,1,9003,1,9,6
708,39,1,9254,1,9,9
709,39,1,8014,0,9,7
710,39,1,9991,0,90,90
711,39,1,9119,1,9,8
712,39,1,9085,1,90,90
713,1,1,9500,1,2,2
714,39,1,9085,1,6,6
715,43,1,8014,0,4,10
716,39,1,9130,1,0,90
717,39,1,9670,1,3,9
718,42,1,9991,0,9,9
719,43,1,9670,1,8,10
720,43,1,33,1,4,4
721,1,1,9254,1,3,7
722,1,1,171,1,9,5
723,39,1,8014,0,90,5
724,7,3,9130,1,90,10
725,7,1,9500,1,9,7
726,51,1,9670,1,3,3
727,39,1,9991,0,9,9
728,1,2,171,1,4,7
729,43,1,9670,1,2,2
730,1,1,9773,1,9,9
731,44,1,9003,1,4,6
732,1,1,9254,1,6,6
733,39,2,9147,1,4,7
734,39,1,9130,1,6,7
735,17,2,9670,1,4,10
736,43,1,9773,1,3,7
737,17,2,9254,1,5,7
738,1,1,171,1,3,7
739,51,1,9773,1,8,8
740,1,1,9070,1,9,7
741,1,1,9254,1,2,2
742,17,3,9500,1,3,3
743,39,1,9991,0,4,8
744,39,1,9773,1,9,9
745,43,1,9003,1,4,5
746,51,1,9003,1,4,4
747,43,1,9085,1,9,6
748,39,1,9670,1,90,3
749,1,2,9500,1,5,3
750,1,2,9670,1,5,5
751,1,1,9070,1,9,9
752,42,1,9500,1,3,3
753,39,1,9991,0,7,9
754,1,3,9070,1,9,9
755,1,4,171,1,4,5
756,15,1,9670,1,9,5
757,43,1,9991,0,9,4
758,1,1,9254,1,3,3
759,43,2,9147,1,9,9
760,17,1,9003,1,2,2
761,5,1,171,1,1,10
762,43,3,8014,0,9,9
763,15,1,9147,1,192,3
764,44,1,8014,0,5,5
765,1,4,9147,1,5,10
766,44,1,9130,1,4,4
767,7,1,9991,0,4,1
768,39,1,8014,0,9,7
769,17,5,9670,1,5,5
770,1,1,9085,1,9,9
771,17,6,9773,1,5,5
772,1,3,9500,1,4,9
773,1,2,9238,1,4,10
774,1,1,9085,1,2,8
775,44,1,9085,1,4,7
776,43,1,9085,1,4,4
777,1,1,171,1,4,2
778,17,1,9853,1,132,132
779,17,3,9773,1,5,5
780,17,1,9773,1,7,7
781,17,1,9670,1,5,4
782,1,1,9500,1,3,8
783,1,3,9500,1,1,3
784,1,2,9773,1,9,9
785,1,1,9238,1,1,1
786,1,1,9070,1,1,2
787,1,1,9500,1,4,5
788,5,3,9085,1,0,90
789,17,3,171,1,5,4
790,17,1,9773,1,9,9
791,39,1,9500,1,2,2
792,17,1,9238,1,9,2
793,17,3,9238,1,2,5
794,1,3,9773,1,3,3
795,1,3,9773,1,5,8
796,44,1,9070,1,9,8
797,18,3,9500,1,4,8
798,1,1,9130,1,9,9
799,1,1,9853,1,3,7
800,53,1,9070,1,3,5
801,1,2,9238,1,9,8
802,17,4,9147,1,5,5
803,1,1,9773,1,9,9
804,1,3,9853,1,5,3
805,17,2,9147,1,9,3
806,17,3,9070,1,3,5
807,1,1,9130,1,2,10
808,1,4,9773,1,4,7
809,1,5,9070,1,9,3
810,1,1,9238,1,9,4
811,17,2,9853,1,5,7
812,17,1,9500,1,9,9
813,1,1,9500,1,3,3
814,1,1,9853,1,4,4
815,51,1,9147,1,4,4
816,17,1,9070,1,4,5
817,16,1,9070,1,4,4
818,17,2,9500,1,3,5
819,1,1,8014,0,9,90
820,1,1,9147,1,9,9
821,1,3,171,1,9,3
822,1,1,9085,1,4,7
823,1,2,9238,1,9,9
824,18,4,9773,1,9,9
825,17,3,9670,1,4,3
826,17,1,9853,1,5,7
827,1,3,9070,1,9,7
828,1,4,9500,1,4,5
829,43,1,9670,1,3,5
830,17,1,9254,1,3,3
831,39,1,9238,1,0,0
832,43,1,9130,1,9,2
833,39,1,9130,1,9,6
834,39,1,9119,1,90,5
835,1,3,9119,1,3,4
836,17,3,9119,1,3,4
837,51,1,9556,1,152,193
838,44,1,9130,1,2,8
839,1,1,9147,1,3,10
840,1,1,9147,1,9,9
841,17,1,9147,1,3,4
842,39,1,9130,1,3,0
843,1,3,9500,1,9,5
844,1,1,9238,1,9,9
845,1,1,171,1,9,8
846,39,1,9991,0,194,131
847,17,1,9147,1,9,9
848,1,1,9085,1,2,5
849,17,6,9500,1,4,4
850,1,6,9500,1,1,1
851,5,2,9853,1,4,5
852,1,1,9238,1,9,9
853,39,1,9500,1,9,9
854,17,4,9119,1,5,5
855,1,3,9773,1,4,1
856,1,1,9238,1,4,3
857,39,1,9003,1,9,10
858,5,4,9119,1,4,6
859,1,1,9773,1,0,3
860,18,2,9119,1,5,4
861,39,2,9147,1,9,9
862,44,1,9070,1,5,8
863,39,1,9670,1,9,8
864,44,1,9085,1,5,4
865,1,4,9500,1,4,10
866,39,1,9119,1,90,90
867,39,1,9119,1,3,7
868,18,1,9254,1,4,5
869,1,1,171,1,9,7
870,1,1,9254,1,191,193
871,39,1,9119,1,0,0
872,42,1,9991,0,5,5
873,1,1,9556,1,1,1
874,1,1,9003,1,194,194
875,1,1,9500,1,9,9
876,17,1,9070,1,9,9
877,39,2,9556,1,4,5
878,1,2,9670,1,7,10
879,44,1,9070,1,9,3
880,17,2,9070,1,9,8
881,1,1,171,1,2,5
882,39,1,9003,1,9,6
883,39,1,9003,1,4,7
884,16,2,9500,1,4,9
885,42,1,9773,1,0,0
886,16,6,9773,1,0,0
887,43,2,9238,1,9,7
888,1,1,9500,1,4,7
889,1,3,9773,1,9,5
890,1,2,9773,1,9,9
891,39,1,171,1,175,193
892,43,1,9500,1,9,9
893,7,1,8014,0,9,4
894,42,1,9085,1,4,7
895,44,1,9991,0,4,9
896,17,1,9773,1,5,5
897,43,1,9070,1,5,9
898,1,1,9254,1,9,5
899,17,1,9670,1,7,7
900,17,1,9147,1,9,7
901,43,2,9238,1,5,5
902,7,1,9500,1,7,7
903,1,2,9500,1,9,4
904,1,2,9147,1,9,9
905,1,3,9500,1,5,5
906,1,4,9670,1,7,7
907,17,2,9238,1,7,6
908,17,5,9238,1,5,5
909,1,1,171,1,7,10
910,1,1,9853,1,9,5
911,1,1,9085,1,5,4
912,39,1,9991,0,9,9
913,39,1,8014,0,9,7
914,39,1,9500,1,9,6
915,15,1,9773,1,4,5
916,39,1,9991,0,90,90
917,39,1,8014,0,8,10
918,44,1,9003,1,9,4
919,39,1,8014,0,9,7
920,39,1,8014,0,9,3
921,39,1,8014,0,9,9
922,17,6,9238,1,4,2
923,39,1,9500,1,9,6
924,39,1,9991,0,9,9
925,39,1,9500,1,9,7
926,7,1,9085,1,4,90
927,39,1,8014,0,6,8
928,39,1,9085,1,191,163
929,1,1,9238,1,0,0
